Document/Patent number,Title,Inventor name,Publication date
US-20240281858-A1,System and method for implementing intelligent interactions in a metaverse,AGARWAL; Ankit Chandra et al.,2024-08-22
US-20240282125-A1,System and method for increasing a resolution of a three-dimension (3D) image,Padmanaban; Ravindran et al.,2024-08-22
US-12069057-B2,Controlling access to secure information resources using rotational datasets and dynamically configurable data containers,Kurian; Manu,2024-08-20
US-12069080-B2,Malware detection using document object model inspection,Townsend; Joel Richard et al.,2024-08-20
US-12067123-B2,Relay-switch with sandbox communication connections,Haletky; Edward L.,2024-08-20
US-12067022-B2,Processing queries and commands using a universal intelli-shell instrument,Jawaji; Maheshwari et al.,2024-08-20
US-12069535-B2,Intelligent precursory systematized authentication,Gupta; Aarthi et al.,2024-08-20
US-12067113-B2,Proactive anti cyber-forensic activity detection and prevention,Yarabolu; Vijay Kumar,2024-08-20
US-12067348-B1,Intelligent webpage UI optimization leveraging UI and viewer extraction telemetry,Verma; Sandeep et al.,2024-08-20
US-20240275595-A1,Domain Specific Tokens for Reduced Token Generation,Jain; Jeetendra Hukmichand et al.,2024-08-15
US-20240275607-A1,Cross Chained Aggregated Hash Token Validation System,Yarabolu; Vijay Kumar et al.,2024-08-15
US-20240275770-A1,Transitioning interactions of an interaction session initiated within a metaverse to a real-world environment to complete the interaction session,Agrawal; Jatin et al.,2024-08-15
US-20240275820-A1,SCENARIO-BASED ACCESS ENTITLEMENT ENGINE AND CONTROLLER,Cao; Min,2024-08-15
US-20240275815-A1,"SYSTEMS, METHODS, AND APPARATUSES FOR ACTIVATING A DECOY RESOURCE BASED ON DURESS TRIGGERS IN AN ELECTRONIC NETWORK",Albero; George Anthony et al.,2024-08-15
US-20240273005-A1,Detecting and resolving video and audio errors in a metaverse application,Bussa; Swathi,2024-08-15
US-20240273006-A1,Identifying and resolving rendering errors associated with a metaverse environment across devices,Bussa; Swathi,2024-08-15
US-20240273212-A1,SECURITY VULNERABILITY DETECTION FOR IMAGE FILES,Philip; Charles C. et al.,2024-08-15
US-20240273012-A1,Testing a metaverse application for rendering errors across multiple devices,Bussa; Swathi,2024-08-15
US-20240273211-A1,INTELLIGENT APPARATUS TO MONITOR AND AUTO DEPLOY SECURITY POLICY RULES ON CONTAINER BASED CLOUD INFRASTRUCTURE LEVERAGING NFT & QUANTUM KNOWLEDGE GRAPH,Singh; Shailendra,2024-08-15
US-20240273184-A1,Data Poisoning and Model Drift Prevention System,Yarabolu; Vijay Kumar et al.,2024-08-15
US-20240273083-A1,SYSTEM AND METHODS FOR DYNAMIC VISUAL GRAPH STRUCTURE PROVIDING MULTI-STREAM DATA INTEGRITY AND ANALYSIS,Yarabolu; Vijay Kumar et al.,2024-08-15
US-20240273482-A1,SATELLITE DATA NFT TRANSFER LEVERAGING BLOCKCHAIN AND SMART CONTRACT CAPABILITIES,Singh; Shailendra,2024-08-15
US-12062102-B2,Coordination platform for generating and managing authority tokens,Fairchild; Albena N. et al.,2024-08-13
US-12061621-B2,Bulk data extract hybrid job processing,Ebenezer; Daniel et al.,2024-08-13
US-12063238-B2,Preventing unauthorized participation in collaborative augmented reality and virtual reality meetings,Albero; George et al.,2024-08-13
US-12061465-B2,Automatic system anomaly detection,Anand; Vasuki et al.,2024-08-13
US-12062055-B2,Systems and methods for increasing data security in social media online platforms,Young; Michael et al.,2024-08-13
US-12063193-B2,Transfer of AI-powered conversational messaging within a mobile application,Thomas; Prejish et al.,2024-08-13
US-12061547-B2,Systems and methods for dynamic management of stored cache data based on usage information,Arora; Saurabh et al.,2024-08-13
US-12063249-B2,Defensive deepfake for detecting spoofed accounts,Keiter; Kelly Renee-Drop et al.,2024-08-13
US-12061700-B2,Logos as visual indicators of trust in applications,Keiter; Kelly et al.,2024-08-13
US-20240265078-A1,Security Enabled False Desktop Computing Environment,Horne; Daniel et al.,2024-08-08
US-20240267246-A1,SYSTEMS FOR CAPTURING MESSAGING VOLUME AND UTILIZATION METRICS WITHIN A MULTICAST MESSAGING SERVICE,Patel; Milan Bansilal,2024-08-08
US-20240265143-A1,System and method for detecting and obfuscating confidential information in task logs,Dande; Pratap et al.,2024-08-08
US-20240267374-A1,AUTHENTICATION BYPASS INFRASTRUCTURE,Chavali; Srinivas,2024-08-08
US-20240267306-A1,System and method for servicing requests in a decentralized network,Balasubramanian; Saravanan et al.,2024-08-08
US-20240267376-A1,SYSTEMS AND METHODS FOR AUTHENTICATING A RESOURCE TRANSFER IN A PEER-TO-PEER RESOURCE SHARING ELECTRONIC NETWORK,Patangia; Vishal et al.,2024-08-08
US-20240267395-A1,Polymorphic Non-Attributable Website Monitor,Zink; Robert et al.,2024-08-08
US-20240267280-A1,System and method for implementing auto-correction to solve dynamic issues in a distributed network,Madiya; Tirupathirao et al.,2024-08-08
US-20240267410-A1,Analyzing messages for malicious content using a cloud computing system,Gorter; Charlene Moss et al.,2024-08-08
US-20240267371-A1,Securing user interfaces of a computing cluster,Loster; Leonard Anthony et al.,2024-08-08
US-20240267796-A1,MOBILITY PROTOCOL FOR NARROW-BAND INTERNET OF THINGS (NB-IOT) NETWORKS,Selvaraj; Srinivasan et al.,2024-08-08
US-20240264987-A1,Reducing a number of units in a data population based on predefined constraints,Tamizhmani; Aravinthane et al.,2024-08-08
US-20240265390-A1,Quantum Cloud Apparatus for Event Evaluation and Authorization,Dhar; Partha Sarathi et al.,2024-08-08
US-20240264897-A1,Intelligent issue identifier for auto-detecting dynamic issue changes in a distributed network,Madiya; Tirupathirao et al.,2024-08-08
US-12056992-B2,Identification of anomalies in an automatic teller machine (ATM) network,Kumar; Ashok et al.,2024-08-06
US-12058159-B2,Automated monitoring of proximate devices,Richman; Adam B. et al.,2024-08-06
US-12056112-B2,Data feed meta detail categorization for confidence,Bryant; Matthew Kristofer et al.,2024-08-06
US-12058249-B2,Pre-staged transactions with ultra-wideband networking and haptic feedback,Chauhan; Sandeep Kumar et al.,2024-08-06
US-12058005-B1,Intelligent apparatus to auto-generate spine-leaf network topography for datacenter leveraging quantum photonic generative artificial intelligence,Singh; Shailendra et al.,2024-08-06
US-20240256668-A1,Detecting and Preventing Installation and Execution of Malicious Browser Extensions,Varanda; Ricardo,2024-08-01
US-20240259201-A1,Virtual environment-to-real world secured communication channel,Enciso; Catalina et al.,2024-08-01
US-20240259407-A1,SYSTEM AND METHOD FOR IDENTIFICATION AND ANALYSIS OF SUSPICIOUS DATA IN AN ELECTRONIC NETWORK ENVIRONMENT,Philip; Charles et al.,2024-08-01
US-20240259385-A1,Hierarchical Based Decryption for Improved Content Security,Yedluri; Praveen et al.,2024-08-01
US-20240256687-A1,SYSTEM AND METHOD FOR SECURE DOCUMENT RETRIEVAL AND SHARING USING MULTISTAGE ENCRYPTION AND AUTHORIZATION,Bidkar; Prashant Anna et al.,2024-08-01
US-20240256675-A1,System and method for security threat identification and resolution,Ozugur; Timucin,2024-08-01
US-20240256758-A1,Compliance Fabric for Enterprise UI/UX Standards,MeenakshiSundaram; Meenakshi et al.,2024-08-01
US-20240257085-A1,Token Account Payment Computing System,Gandhi; Jesika et al.,2024-08-01
US-20240257466-A1,SECURING COMMUNICATION SESSIONS IN THE METAVERSE,Harsha; Surampudi Sai Sri et al.,2024-08-01
US-20240256361-A1,Predictive load modeling using a digital twin of a computing infrastructure,Albero; George et al.,2024-08-01
US-20240256338-A1,SYSTEM AND METHOD FOR GENERATING CONSOLIDATED RESOURCE ACCESS CONTROL DATA IN AN ELECTRONIC NETWORK,Perraut; Trina et al.,2024-08-01
US-12050973-B2,Automated model generation platform for recursive model building,Mukherjee; Maharaj,2024-07-30
US-12050587-B2,Data feed meta detail categorization for confidence,Bryant; Matthew Kristofer et al.,2024-07-30
US-12051053-B2,"Secured, unified, multifunctional, digital currency store with machine-readable card and/or mobile app",Hill; Rosemary et al.,2024-07-30
US-12051073-B2,Distributed ledger based artifice prohibition technology,Gupta; Saurabh,2024-07-30
US-12050858-B2,Personal data discovery,El Ouriaghli; Moncef et al.,2024-07-30
US-12050505-B2,Systems and methods for automatically applying configuration changes to computing clusters,Dande; Pratap et al.,2024-07-30
US-12052261-B2,System and method for authenticating the receiving end of data transmission via LiFi and holochain network,Arumugam Maharaja; Raja et al.,2024-07-30
US-12050875-B2,System and method for determining context changes in text,Trivedi; Abhishek et al.,2024-07-30
US-12052269-B2,Secure network communications apparatus for communicating sensitive data,Mishra; Amit et al.,2024-07-30
US-12051050-B2,ATM leveraging edge devices for round-trip data routing,Kurian; Manu et al.,2024-07-30
US-12052146-B2,Machine learning-based multitenant server application dependency mapping system,Nodzak; Conor Mitchell Liam et al.,2024-07-30
US-12051307-B1,Zero trust based artificial intelligence algorithm driven reimage process on an automated teller machine leveraging RAM partitioning,Garg; Saurabh et al.,2024-07-30
US-12050962-B1,System and method for implementing dynamic operation identifier,Gupta; Saurabh,2024-07-30
US-20240251011-A1,"SYSTEMS, METHODS, AND APPARATUSES FOR DYNAMICALLY DETERMINING DATA CENTER TRANSMISSIONS BY IMPLEMENTING LOAD BALANCERS IN AN ELECTRONIC NETWORK",Bandarupalli; Jagadish Babu et al.,2024-07-25
US-20240248806-A1,CENTRALIZED DATA BACKUP PLATFORM SUPPORTING MULTIPLE DATA ENVIRONMENTS,Dahl; Erik et al.,2024-07-25
US-20240248687-A1,Template Driven Architecture,Gildwel; Heath et al.,2024-07-25
US-20240249067-A1,Template Driven Architecture,Gildwel; Heath et al.,2024-07-25
US-20240249072-A1,SYSTEM AND METHOD FOR PREDICTIVE GENERATION OF ELECTRONIC QUERY DATA,Ting; Benny et al.,2024-07-25
US-20240248977-A1,REAL-TIME CROSS-CHANNEL REVERSE AUTHENTICATION,Dantuluri; Indradeep et al.,2024-07-25
US-20240249253-A1,Event Mesh-Based Multi-Gateway Payment Processing System,Frantz; Lee Barry et al.,2024-07-25
US-20240249274-A1,D(DIGITAL) + B(BITCOIN) WALLET,Greene; Steven et al.,2024-07-25
US-20240249288-A1,VIRTUAL CASH WITH FLAGGING OR TRACKING OF SUSPICIOUS TRANSACTIONS,Greene; Steven et al.,2024-07-25
US-20240249286-A1,"STORED VALUE PAYMENT INSTRUMENT, HAVING PAYMENT CARD CHARACTERISTICS, FOR VIRTUAL CASH TRANSACTIONS",Greene; Steven et al.,2024-07-25
US-20240250819-A1,System and method for implementing token-based authentication of text messages,Siekman; James,2024-07-25
US-20240250818-A1,NON-FUNGIBLE TOKEN WITH ADAPTABLE DIGITAL FILES,Berry; Anna Kristen Pingel et al.,2024-07-25
US-20240250895-A1,"SYSTEMS, METHODS, AND APPARATUSES FOR DETERMINING DATA TRANSMISSION DESTINATIONS ACROSS AN ELECTRONIC NETWORK",Bandarupalli; Jagadish Babu et al.,2024-07-25
US-20240250956-A1,SYSTEMS AND METHODS FOR DYNAMIC ACCESS PERMISSIONS TO SECURE DATA RESOURCES IN A DISTRIBUTED NETWORK,Goff; Malu et al.,2024-07-25
US-20240249181-A1,SMART SAMPLING OF NOISY LABELS USING ARTIFICIAL INTELLIGENCE,Li; Yvonne et al.,2024-07-25
US-12046111-B2,Banking systems controlled by data bearing records,Brancaccio; Joan C.,2024-07-23
US-12045344-B2,Preventing unauthorized screen capture activity,Beveridge; Michael et al.,2024-07-23
US-12047426-B2,Dynamic group session data access protocols,Chauhan; Sandeep Kumar et al.,2024-07-23
US-12045359-B2,Recursive data and electronic signature document updater,Albero; George et al.,2024-07-23
US-12045822-B2,Multi-computer system with dynamic authentication for optimized queue management based on facial recognition,Ratnakaram; Udaya Kumar Raju et al.,2024-07-23
US-20240242557-A1,Intelligent Cash Handling,"Mattison, SR.; Paul Martin et al.",2024-07-18
US-20240242209-A1,HASH-BASED TRANSACTION TAGGING,Albero; George et al.,2024-07-18
US-20240244048-A1,Dynamic Passive Authentication,Traywick; Edward Lee et al.,2024-07-18
US-20240244050-A1,SYSTEM AND METHOD FOR ELECTRONIC AUTHENTICATION OF ELECTRONIC DISTRIBUTED NETWORK TRAFFIC VIA ENRICHED DATA,Walsh; Barry Gregory Jude et al.,2024-07-18
US-20240243988-A1,SYSTEMS FOR SEGMENTING AND CONTROLLING THE TRANSMISSION OF DATA IN COMPUTING NETWORKS,Kurian; Manu Jacob et al.,2024-07-18
US-20240244302-A1,SYSTEMS AND METHODS FOR EMBEDDING EXTRACTABLE METADATA ELEMENTS WITHIN A CHANNEL-AGNOSTIC LAYER OF AUDIO-VISUAL CONTENT,Castinado; Joseph Benjamin et al.,2024-07-18
US-20240243926-A1,SYSTEM FOR A SECURE MODULAR CLOUD-ENABLED RESOURCE EXCHANGE APPARATUS,Williams; Matthew Edward et al.,2024-07-18
US-20240244075-A1,GENERATING PASSWORD COMPLEXITY RULES BASED ON ATTACK PATTERN ANALYSIS USING HASH SEGMENTATION,Yarabolu; Vijay Kumar et al.,2024-07-18
US-20240244293-A1,"SYSTEMS, METHODS, AND APPARATUSES FOR ANALYZING, USING AI ENGINES, RESOURCES DEPICTED IN AUDIO VISUAL CONTENT",Castinado; Joseph Benjamin et al.,2024-07-18
US-20240243906-A1,"SYSTEMS, METHODS, AND APPARATUSES FOR GENERATING DATA STRINGS AND FOR MANAGING ENCRYPTED DATA IN DATA CONTAINERS IN AN ELECTRONIC NETWORK",Izmirliev; Antoan Fotev et al.,2024-07-18
US-20240241819-A1,ROBOTICALLY TESTING ACCESSIBILITY,Macxis; Mardochee et al.,2024-07-18
US-20240241705-A1,Source code validation based on converting the source code to a non-programming language,Mahajan; Nipun et al.,2024-07-18
US-20240241714-A1,Source code conversion from an original computer programming language to a target programming language,Mahajan; Nipun et al.,2024-07-18
US-20240241927-A1,SYSTEM FOR PROVISIONING AUTHENTICATED ACCESS TO RESOURCES LINKED WITH INDIVIDUAL CHARACTERISTIC DATA,Richman; Adam B. et al.,2024-07-18
US-20240241773-A1,DYNAMIC APPLICATION PROGRAMMING INTERFACE MODIFICATION TO ADDRESS HARDWARE DEPRECIATION,Ahuja; Yogi et al.,2024-07-18
US-20240242204-A1,Blockchain-Based System for Management of Digital Tokens,Sanghvi; Siten,2024-07-18
US-20240241975-A1,"SYSTEMS, METHODS, AND APPARATUSES FOR SELF-INTERROGATING DATA AND CORRECTING DATA STORAGE IMPLEMENTATIONS IN AN ELECTRONIC NETWORK",Izmirliev; Antoan Fotev et al.,2024-07-18
US-20240242276-A1,Blockchain-Based System for Management of Digital Tokens,Sanghvi; Siten,2024-07-18
US-20240242294-A1,OPT-IN DISTRIBUTED LEDGER CONSORTIUM,Ahuja; Yogi et al.,2024-07-18
US-20240242303-A1,TOOL DIFFERENTIATOR BETWEEN FRAUD AND STRUGGLING CUSTOMERS IN REAL TIME,Tran; Doan T. et al.,2024-07-18
US-20240242093-A1,MACHINE LEARNING BASED SYSTEM FOR PREDICTIVE GENERATION OF DATA PUDDLES,Yarabolu; Vijay Kumar et al.,2024-07-18
US-20240242219-A1,Dynamic Passive Authentication at Self-Service Kiosk,Traywick; Edward Lee et al.,2024-07-18
US-12039380-B2,Managing and routing messages to distributed user devices in an enterprise computing environment,Sureshkumar; Moses et al.,2024-07-16
US-12039019-B2,Security enabled false desktop computing environment,Horne; Daniel et al.,2024-07-16
US-12039507-B2,Touchscreen enabled smart card,Gupta; Saurabh,2024-07-16
US-12041175-B2,Electronic system for resource origination tracking,Agrawal; Shilpoo,2024-07-16
US-12039219-B2,Systems for providing access to personalized user environments,Roberson; Daniel Thomas et al.,2024-07-16
US-12039217-B2,Smart glass interface to mobile user,Singh; Shailendra,2024-07-16
US-12040967-B2,System and method for splitting data elements for data communication based on transformation types implemented on the data elements at different devices,Grandhye; Nagendra B. et al.,2024-07-16
US-12039382-B2,Real time intelligent message bus management tool,Srivastava; Gaurav,2024-07-16
US-12041048-B2,System and method for authenticating interactions with dynamically varying digital resources linked to resource distribution devices,Polasa; Puneetha et al.,2024-07-16
US-12039079-B2,System and method to secure data pipelines using asymmetric encryption,Yarabolu; Vijay Kumar,2024-07-16
US-12039044-B2,Data security in a metaverse environment,Bakshi; Sakshi et al.,2024-07-16
US-12039262-B1,Transforming source data based on performance indicators associated with templates,Palaniappan; Lakshmanan et al.,2024-07-16
US-12038941-B1,Data mesh for unstructured data,Meedinti Bhaskara Reddy; Harinath et al.,2024-07-16
US-12041134-B1,System and method for replication and transmission of critical data using ultra reliable low latency communication network architecture,Arora; Saurabh et al.,2024-07-16
US-20240236133-A1,Detecting Data Exfiltration and Compromised User Accounts in a Computing Network,Kaye; Kenneth A. et al.,2024-07-11
US-20240231818-A1,SYSTEM FOR DETECTION AND RECORDATION OF FUNCTIONAL CODE LOGIC COMPONENTS ON A DISTRIBUTED DEVELOPMENT PLATFORM,Singh; Shailendra et al.,2024-07-11
US-20240232847-A1,SYSTEM AND METHODS FOR DETECTING AND IMPLEMENTING RESOURCE ALLOCATION IN AN ELECTRONIC NETWORK BASED ON NON-CONTACT INSTRUCTIONS,Lal; Geetika et al.,2024-07-11
US-20240232269-A1,HYBRID METAVERSE USING EDGE NODES TO SUPPORT A SOFT REPOSITORY FOR EVENT PROCESSING,Arora; Saurabh et al.,2024-07-11
US-20240232684-A9,TRANSACTION CLASSIFYING,Mandala; Krishna Reddy et al.,2024-07-11
US-20240232879-A9,BLOCKCHAIN-BASED SOURCE IDENTIFIER,Kurian; Manu et al.,2024-07-11
US-20240231794-A9,ARTIFICIAL INTELLIGENCE (AI) SUPPORTED GRAPH ENABLED METHOD TO MANAGE UPGRADES FOR APPLICATIONS,Bakshi; Sakshi et al.,2024-07-11
US-20240232054-A9,Graphical Neural Network for Error Identification,Bakshi; Sakshi et al.,2024-07-11
US-20240235982-A9,SECURE AND SELECTIVE DATA PACKET ROUTING,Delson; Kevin A.,2024-07-11
US-20240231969-A9,TECHNOLOGY AND PROTOCOL AGNOSTIC KEY-VALUE PAIR BASED USER INTERFACE AND DATA RENDERING TO SUPPORT A TRANSACTION,Akkapeddi; Naga Vamsi Krishna,2024-07-11
US-20240231966-A9,Determining and managing interactions between application sub-systems using machine learning,Akkapeddi; Naga Vamsi Krishna,2024-07-11
US-20240236147-A9,IDENTIFYING PERSONALIZED OR ALTERED WEBPAGE CONTENT USING A BROWSER EXTENSION TOOL,Negi; Santosh Singh,2024-07-11
US-20240233272-A9,System and method for auto-generating and sharing customized virtual environments,Singh; Shailendra,2024-07-11
US-20240236044-A9,SYSTEM AND METHODS FOR CLOUD-BASED VIRTUAL PRIVATE SECURED CONTAINED COMMUNICATION PORTAL,Akkapeddi; Naga Vamsi Krishna,2024-07-11
US-20240235978-A1,SYSTEM AND METHOD FOR EVALUATING COMPLIANCE OF TRANSMITTED OBJECT DATA VIA DATA EFFICIENCY MAPPING,Ahuja; Yogi et al.,2024-07-11
US-20240235814-A1,POINT-TO-POINT ENCRYPTION/DECRYPTION,Halfon; Zvulun,2024-07-11
US-20240236114-A1,SYSTEM AND METHOD FOR VERIFYING A RESOURCE DISTRIBUTION DEVICE FROM A PLURALITY VIA SCANNING DYNAMIC DEVICE-SPECIFIC COMPUTER-READABLE INDICIA,Castinado; Joseph Benjamin et al.,2024-07-11
US-20240236126-A1,"SYSTEMS, METHODS, AND APPARATUSES FOR DETERMINING PROBABILITY OF MISAPPROPRIATION OF A RESOURCE BASED ON GEOLOCATION TRACKING OVER AN ELECTRONIC NETWORK",Freeman; Ion Chalmers et al.,2024-07-11
US-20240236086-A1,ARTIFICIAL INTELLIGENCE-SUPPORTED PROXY WORKER DETECTION USING VOICE AUTHENTICATION,Traywick; Edward Lee et al.,2024-07-11
US-20240236097-A1,Enhanced Security and Extended Functionality for Workstation Integration with Mainframe Operating Systems,Appel; Ryan et al.,2024-07-11
US-20240236079-A1,Portal Control of Web Site Credentials Using Asymmetric Public/Private Key Encryption Without User Selection or User Password Management,Abraham; Joshua et al.,2024-07-11
US-20240236665-A1,SYSTEM FOR RESOURCE SHARING OVER A SECURE WIRELESS NETWORK COMMUNICATION CHANNEL,Reddy; Kumara Swamy Kariyappa et al.,2024-07-11
US-20240236687-A1,GEOLOCATION AUTHENTICATOR,Traywick; Edward Lee et al.,2024-07-11
US-20240232047-A1,SELF-CORRECTING BOT,Dhawan; Lalit et al.,2024-07-11
US-20240232146-A1,Quantum Computing System with Secured Multi-Source Cloud Application Programming Interface,Hukmani; Ravi Kiran et al.,2024-07-11
US-20240232162-A1,"INTELLIGENT PROCESSING ENGINE FOR ACQUISITION, STORAGE, AND SUBSEQUENT REFRESH OF DATA FROM A DISTRIBUTED NETWORK",Horstman; Michael G. et al.,2024-07-11
US-20240232653-A1,SYSTEM FOR IMPLEMENTING PREDICTIVE CONFIGURATION CHANGES BASED ON TRACKING APPLICATION USAGE PATTERNS,Horstman; Michael G. et al.,2024-07-11
US-20240232693-A1,SYSTEM AND METHOD FOR ELECTRONIC COMPLIANCE EVALUATION OF TRANSMITTED OBJECT DATA VIA A MACHINE LEARNING MODEL,Ahuja; Yogi et al.,2024-07-11
US-20240232750-A1,"Virtual, Real-time, and Dynamic Availability Monitoring to Enable Multi-Channel Point-to-Point Communication",Crabbe; Elvin et al.,2024-07-11
US-20240232797-A1,"SYSTEMS, METHODS, AND APPARATUSES FOR ELECTRONICALLY, INITIATING, TRACKING AND COMPLETING RESOURCE REPLENISHMENTS WITH A NETWORK",Horstman; Michael G. et al.,2024-07-11
US-20240232891-A1,BLOCKCHAIN-BASED DIGITAL TRANSACTIONAL SYSTEM WITH MACHINE-LEARNING (ML)-POWERED RULE GENERATION,Ahuja; Yogi et al.,2024-07-11
US-20240233027-A1,TRANSACTING OF DIGITAL ASSETS / CRYPTOCURRENCY BY COMBINING FUNDAMENTALS ANALYSIS AND TECHNICAL ANALYSIS,Patel; Vinesh et al.,2024-07-11
US-20240231908-A1,METHODS AND SYSTEMS FOR DYNAMIC ALLOCATION OF AGGREGATED RESOURCE TRANSFERS IN A DISTRIBUTED NETWORK,Ilangovan; Votreeshwaran et al.,2024-07-11
US-20240233280-A1,METAVERSE ENABLED DIGITAL COGNITIVE TWIN,Thendral; Thamizh et al.,2024-07-11
US-12032999-B2,System for intelligent allocation of a resource into an auxiliary tangible source retainer,Morgan; Rebecca Stepp,2024-07-09
US-12033131-B2,Smartglasses-to-smartglasses payment systems,Gupta; Saurabh,2024-07-09
US-12034768-B2,Information security system and method for phishing domain detection,Young; Michael Robert et al.,2024-07-09
US-12032971-B2,Electronic system for dynamically reconfiguring electronic applications based on user requests,Golthi; Rama Venkata Siva Kumar,2024-07-09
US-12033367-B2,Automated categorization and assembly of low-quality images into electronic documents,Nguyen; Van et al.,2024-07-09
US-12034856-B2,System for real-time assessment of authenticity of a resource using non-fungible tokens,Young; Michael Robert et al.,2024-07-09
US-12033147-B2,System for containerization of non-fungible tokens,Young; Michael Robert et al.,2024-07-09
US-12032707-B2,Secure digital record with improved data update and sharing,Nunn; Daniel John et al.,2024-07-09
US-12033102-B2,Resource transfer monitoring and authorization,Jain; Jeetendra Hukmichand et al.,2024-07-09
US-12034557-B2,Systems for capturing messaging volume and utilization metrics within a multicast messaging service,Patel; Milan Bansilal,2024-07-09
US-12032715-B2,System and method for securing information in a distributed network via a distributed identifier,Madiya; Tirupathirao et al.,2024-07-09
US-12032527-B2,File de-duplication for a distributed database,Dande; Pratap et al.,2024-07-09
US-12034702-B2,Enhancing kernel security in cloud environment by performing a rules-based analysis of incoming data packets before routing them to the kernel,Nyamwange; Elvis,2024-07-09
US-12034718-B2,Secure user authentication leveraging quantum key and steganography,Mohanty; Swetapadma,2024-07-09
US-12035142-B2,Systems and methods for dynamic communication channel switching for secure message propagation,"Castrejon, III; Tomas M. et al.",2024-07-09
US-12034586-B2,Pro-active digital watch center,Albero; George et al.,2024-07-09
US-12032569-B2,System and method for script-based querying and aggregation of endpoint data via a directory access protocol,Regmi; Ambarish et al.,2024-07-09
